rcid,airpt_cd,airpt_name,cntry_cd,atpco_cntry_cd,icao,city_cd,lat,lng,timezone,gmt,is_rail_road,is_bus_station,geoname_id,us_state_cd,atpco_zone,atpco_area
7731,TJJ,"Tianjin Bus Station",CN,CN,,TSN,39.084158,117.200983,Asia/Shanghai,8,N,Y,0,,320,3
7732,TJK,Tokat,TR,TR,LTAW,TJK,40.302223,36.367780,Europe/Istanbul,2,N,N,6299740,,210,2
7733,TJM,Roschino,RU,XU,USTR,TJM,57.181828,65.350240,Asia/Yekaterinburg,6,N,N,7730198,,360,3
7734,TJN,Takume,PF,PF,NTKM,TJN,-15.850556,-142.266940,Pacific/Tahiti,-10,N,N,8260901,,340,3
7735,TJQ,Bulutumbang,ID,ID,WIKD,TJQ,-2.750000,107.650000,Asia/Jakarta,7,N,N,6301231,,320,3
7736,TJS,"Tanjung Selor",ID,ID,WALG,TJS,2.850000,117.366670,Asia/Makassar,8,N,N,7668665,,320,3
7737,TJU,Kulyab,TJ,TJ,UTDK,TJU,37.988335,69.806660,Asia/Dushanbe,5,N,N,7730202,,320,3
7738,TJV,Thanjavur,IN,IN,VOTJ,TJV,10.800000,79.200000,Asia/Kolkata,6,N,N,7731547,,330,3
7739,TKA,Talkeetna,US,US,PATK,TKA,62.322224,-150.090000,America/Anchorage,-9,N,N,5875746,,000,1
7740,TKB,Tekadu,PG,PG,,TKB,-7.666667,146.550000,Pacific/Port_Moresby,10,N,N,8261049,,340,3
7741,TKC,Tiko,CM,CM,FKKC,TKC,4.116667,9.333333,Africa/Douala,1,N,N,6296997,,230,2
7742,TKD,Takoradi,GH,GH,DGTK,TKD,4.891667,-1.775000,Africa/Accra,0,N,N,6296430,,230,2
7743,TKE,"Tenakee SPB",US,US,,TKE,57.783333,-135.216660,America/Anchorage,-9,N,N,5557890,,000,1
7744,TKF,Truckee-Tahoe,US,US,KTRK,TKF,39.325000,-120.141670,America/Los_Angeles,-8,N,N,5403683,,000,1
7745,TKG,Branti,ID,ID,WIIT,TKG,-5.242783,105.175800,Asia/Jakarta,7,N,N,6301229,,320,3
7746,TKH,"Nakhon Sawan",TH,TH,,TKH,15.250000,100.350000,Asia/Bangkok,7,N,N,1605912,,320,3
7747,TKI,Tokeen,US,US,KTKI,TKI,55.937500,-133.325000,America/Anchorage,-9,N,N,5558003,,000,1
7748,TKJ,Tok,US,US,PATJ,TKJ,63.300000,-143.000000,America/Anchorage,-9,N,N,5876366,,000,1
7749,TKK,Truk,FM,FM,PTKK,TKK,7.457446,151.842010,Pacific/Chuuk,10,N,N,4042202,,370,3
7750,TKL,"Taku SPB",US,US,,TKL,58.000000,-134.000000,America/Anchorage,-9,N,N,5557833,,000,1
7751,TKM,"El Peten",GT,GT,,TKM,17.226389,-89.605000,America/Guatemala,-6,N,N,7731548,,160,1
7752,TKN,Tokunoshima,JP,JP,RJKN,TKN,27.833332,128.883330,Asia/Tokyo,9,N,N,6300363,,310,3
7753,TKO,Tlokoeng,LS,LS,FXTK,TKO,-29.233334,28.883333,Africa/Maseru,2,N,N,7730548,,230,2
7754,TKP,Takapoto,PF,PF,NTGT,TKP,-15.450000,-145.141660,Pacific/Tahiti,-10,N,N,7730126,,340,3
7755,TKQ,Kigoma,TZ,TZ,HTKA,TKQ,-4.885000,29.670000,Africa/Dar_es_Salaam,3,N,N,6297356,,230,2
7756,TKR,Thakurgaon,BD,BD,VGSG,TKR,26.016666,88.400000,Asia/Dhaka,6,N,N,7731549,,330,3
7757,TKS,Tokushima,JP,JP,RJOS,TKS,34.139023,134.594830,Asia/Tokyo,9,N,N,6300383,,310,3
7758,TKT,Tak,TH,TH,VTPT,TKT,16.878332,99.152220,Asia/Bangkok,7,N,N,6301150,,320,3
7759,TKU,Turku,FI,FI,EFTU,TKU,60.512794,22.280980,Europe/Helsinki,2,N,N,6296564,,210,2
7760,TKV,Tatakoto,PF,PF,NTGO,TKV,-17.283333,-138.333330,Pacific/Tahiti,-10,N,N,7730698,,340,3
7761,TKW,Tekin,PG,PG,,TKW,-5.250000,142.150000,Pacific/Port_Moresby,10,N,N,8298685,,340,3
7762,TKX,Takaroa,PF,PF,NTKR,TKX,-14.457749,-145.026400,Pacific/Tahiti,-10,N,N,7730129,,340,3
7763,TKY,"Turkey Creek",AU,AU,,TKY,-17.066668,128.250000,Australia/Perth,8,N,N,8298891,,340,3
7764,TKZ,Tokoroa,NZ,NZ,NZTO,TKZ,-38.216667,175.833330,Pacific/Auckland,13,N,N,7730735,,340,3
7765,TLA,Teller,US,US,PATE,TLA,65.271670,-166.355000,America/Anchorage,-9,N,N,5875969,,000,1
7766,TLB,Tarbela,PK,PK,OPTA,TLB,34.133330,72.816666,Asia/Karachi,5,N,N,7668410,,330,3
7767,TLC,"Licenciado Adolfo Lopez Mateos International",MX,MX,MMTO,MEX,19.283333,-99.666664,America/Mexico_City,-6,N,N,6299878,,000,1
7768,TLD,"Limpopo Valley",BW,BW,FBTL,TLD,-22.183332,29.116667,Africa/Gaborone,2,N,N,7730496,,230,2
7769,TLE,Tulear,MG,MG,FMST,TLE,-23.389723,43.724167,Indian/Antananarivo,3,N,N,6297058,,230,2
7770,TLF,Telida,US,US,,TLF,63.666668,-152.500000,America/Anchorage,-9,N,N,5875962,,000,1
7771,TLG,"Tulagi Island",SB,SB,,TLG,-9.100000,160.150000,Pacific/Guadalcanal,11,N,N,0,,340,3
7772,TLH,"Tallahassee Regional Airport",US,US,KTLH,TLH,30.395782,-84.344440,America/New_York,-5,N,N,6299173,FL,000,1
7773,TLI,Tolitoli,ID,ID,,TLI,1.033333,120.816666,Asia/Makassar,8,N,N,0,,320,3
7774,TLJ,"Tatalina AFS",US,US,PATL,TLJ,62.885277,-155.968060,America/Anchorage,-9,N,N,5875863,,000,1
7775,TLL,Ulemiste,EE,EE,EETN,TLL,59.416622,24.798702,Europe/Tallinn,2,N,N,588404,,210,2
7776,TLM,Zenata,DZ,DZ,DAON,TLM,35.016666,-1.450000,Africa/Algiers,1,N,N,6296381,,210,2
7777,TLN,"Le Palyvestre",FR,FR,LFTH,TLN,43.093490,6.159303,Europe/Paris,1,N,N,6299477,,210,2
7778,TLO,Tol,PG,PG,,TLO,-4.983333,152.033340,Pacific/Port_Moresby,10,N,N,7731550,,340,3
7779,TLP,Tumolbil,PG,PG,,TLP,-4.783333,141.016660,Pacific/Port_Moresby,10,N,N,8298682,,340,3
7780,TLQ,Jiaohe,CN,CN,,TLQ,43.030300,89.097200,Asia/Shanghai,8,N,N,8260916,,320,3
7781,TLR,"Mefford Field",US,US,,TLR,36.216667,-119.350000,America/Los_Angeles,-8,N,N,5403783,,000,1
7782,TLS,Blagnac,FR,FR,LFBO,TLS,43.630070,1.374321,Europe/Paris,1,N,N,6301770,,210,2
7783,TLT,Tuluksak,US,US,,TLT,61.098890,-160.964720,America/Anchorage,-9,N,N,5876777,AK,008,1
7784,TLU,Tolu,CO,CO,SKTL,TLU,9.516667,-75.583336,America/Bogota,-5,N,N,7731551,,000,1
7785,TLV,"Ben Gurion International",IL,IL,LLBG,TLV,32.000454,34.870743,Asia/Jerusalem,2,N,N,390285,,220,2
7786,TLW,Talasea,PG,PG,,TLW,-5.366667,150.016660,Pacific/Port_Moresby,10,N,N,2085944,,340,3
7787,TLX,Talca,CL,CL,SCTL,TLX,-35.466667,-71.666664,America/Santiago,-3,N,N,7730168,,170,1
7788,TLY,Plastun,RU,XU,UHWP,TLY,44.814650,136.289280,Asia/Vladivostok,11,N,N,7910374,,360,3
7789,TLZ,Catalao,BR,BR,SWKT,TLZ,-18.166668,-47.950000,America/Sao_Paulo,-2,N,N,7731552,,170,1
7790,TMA,"Henry Tift Myers",US,US,KTMA,TMA,31.433332,-83.483330,America/New_York,-5,N,N,4226552,,000,1
7791,TMB,Tamiami,US,US,KTMB,MIA,25.650000,-80.433334,America/New_York,-5,N,N,4160729,,000,1
7792,TMC,"Tjilik Riwut",ID,ID,,TMC,-9.340278,119.183060,Asia/Makassar,8,N,N,7336548,,320,3
7793,TMD,Timbedra,MR,MR,GQNH,TMD,16.236668,-8.154167,Africa/Nouakchott,0,N,N,7668285,,230,2
7794,TME,Tame,CO,CO,SKTM,TME,6.500000,-71.766670,America/Bogota,-5,N,N,3687769,,000,1
7795,TMG,Tomanggong,MY,MY,WBKM,TMG,5.400000,118.650000,Asia/Kuching,8,N,N,7731553,,320,3
7796,TMH,Tanahmerah,ID,ID,WAKT,TMH,-6.083333,140.266660,Asia/Jayapura,9,N,N,6301189,,320,3
7797,TMI,"Tumling Tar",NP,NP,VNTR,TMI,27.300000,87.200000,Asia/Kathmandu,6,N,N,7668632,,330,3
